Date,AXP,AAPL,CAT,BA,CSCO,CVX,DD,XOM,GE,GS,HD,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,V,WMT,DIS
1/1/08,1079,4415,427,1475,943,381,481,820,1278,1090,677,1654,1818,476,3675,672,3491,318,223,4402,1990,481,943,71,87,172,1025,618,3759,4631
1/2/08,1870,6359,658,2047,1442,578,720,1165,2321,1789,845,2588,2374,847,4813,1306,4781,563,447,6177,2806,877,1468,156,171,262,1286,953,4730,5365
1/3/08,1958,6983,713,2051,1634,573,776,1314,2308,1999,882,3032,2651,856,5067,1374,4966,602,510,6720,3291,917,1450,157,183,335,1241,1047,5098,5504
1/4/08,2060,6466,640,2179,1745,657,770,1278,2159,1987,893,3237,2839,998,5014,1333,4668,654,515,6652,3046,966,1417,157,179,329,1212,1086,4929,5363
1/5/08,1729,5102,574,1883,1196,787,586,1032,1696,1400,731,2055,2239,663,4191,902,4187,545,342,5212,2477,603,1167,88,125,193,919,1202,4100,5025
1/6/08,1375,5591,523,1730,1188,524,615,1110,1862,1412,713,2298,2291,658,4688,962,4850,462,305,5770,2688,669,1276,80,106,219,919,810,4504,5415
1/7/08,1883,7233,781,2138,1683,637,837,1436,2682,2095,856,3377,2752,1023,5930,1324,6661,791,489,8375,3902,949,1657,101,211,268,1201,1023,5442,5578
1/8/08,1761,7986,805,2095,1955,624,808,1446,2728,2298,901,3774,3088,1106,6332,1458,7126,731,571,9345,4030,1032,1682,140,215,315,1237,1011,5338,5654
1/9/08,1852,7798,708,2341,1920,697,1063,1415,2774,2634,815,3408,2937,1245,6614,1594,6976,783,629,9066,4225,1025,1776,165,202,305,1455,1062,5544,5819
1/10/08,1900,7662,790,2465,1892,804,893,1459,2766,2794,933,3479,2872,1114,6506,2232,7282,749,551,8661,4271,1073,1823,138,255,260,1282,1041,6598,5566
1/11/08,1881,7413,798,2384,1707,710,810,1444,2630,2356,858,3139,2813,1056,6334,2067,6854,715,535,7885,4106,974,1732,136,235,274,1250,1075,5233,5496
1/12/08,1384,5655,687,1843,1221,466,622,1007,2034,1605,757,2250,2136,624,4662,1369,4853,547,364,5446,2638,683,1317,94,101,205,921,845,4509,5313
1/13/08,1304,6259,534,1964,1190,506,629,1114,1977,1650,818,2658,2184,732,6533,1314,5487,545,394,5949,3167,685,1362,84,134,237,1143,769,4812,5705
1/14/08,1890,8493,749,2429,1825,640,967,1411,2694,2298,852,3822,2909,1104,7388,1750,7431,725,657,7903,4447,1054,1975,156,200,303,1280,1063,6359,5658
1/15/08,1989,12053,891,2466,2185,698,882,1561,2590,2628,903,4060,2964,1126,7340,1881,6944,768,647,8234,4500,1133,2081,180,220,317,1465,1174,5827,5646
1/16/08,1997,13734,815,2774,1995,723,920,1561,2994,2591,933,3744,3298,1240,7496,2037,6972,843,632,8700,4911,1037,2129,175,220,351,1372,1099,5501,5815
1/17/08,1812,11332,825,3278,1948,741,967,1546,2951,2631,946,3734,2994,1177,7090,1980,6945,674,656,8271,4518,1086,1988,163,213,319,1420,1009,5408,5703
1/18/08,1807,9248,808,3242,1812,678,919,1415,3047,2660,975,3718,2807,1022,6629,1728,6053,713,588,7526,4076,1048,1738,209,186,347,1307,949,5374,5677
1/19/08,1368,7456,601,2514,1344,488,608,1033,2134,1744,837,2495,2249,676,4559,1147,4641,455,379,5756,2727,780,1335,88,96,238,1118,741,4225,5095
1/20/08,1246,7382,583,2370,1329,517,631,1109,1920,1891,905,2690,2332,796,5921,1199,5093,484,383,5601,3390,684,1684,109,105,231,1113,734,4571,5650
1/21/08,1713,8393,774,2868,1854,726,970,1470,2676,2300,960,3404,2744,1042,7051,1508,6503,726,547,7161,4154,968,1952,162,186,306,1366,1049,5671,6420
1/22/08,1930,9401,726,2803,2075,754,1020,1701,2920,2754,984,3957,3018,1194,7365,1739,6783,784,660,8130,4712,1218,2170,143,262,310,1450,1054,7365,5806
1/23/08,1953,9246,765,2684,2090,849,1064,1666,2852,2955,1275,3722,2863,1252,7346,1835,7108,812,671,8025,4756,1228,2096,190,211,401,1194,1027,5860,5656
1/24/08,1797,10530,796,2649,1983,769,1025,1542,2848,2732,1447,3939,2993,1192,7115,1922,7372,806,622,8357,4634,1236,2047,158,258,350,1319,1035,5776,5760
1/25/08,1675,8435,984,2502,1823,662,884,1429,2680,2718,1305,3398,2764,1011,6714,1606,6013,742,645,7699,4180,1089,1946,155,227,335,1247,1019,5217,5585
1/26/08,1358,6352,689,1858,1249,537,546,1196,1916,1683,1175,2545,2211,748,4477,1163,4466,501,487,5619,3031,682,1456,90,113,210,942,788,4324,5317
1/27/08,1338,6745,729,2046,1300,633,670,1166,2137,1883,1232,3438,2248,789,5529,1276,5221,540,512,5648,3388,786,1664,93,125,248,939,754,5062,5775
1/28/08,1984,8823,757,2422,2101,771,1032,1672,2975,2498,1469,3431,2743,1049,7152,1893,8194,801,645,7917,5372,1127,2028,137,193,382,1393,1007,6177,6059
1/29/08,1957,9084,894,2648,2179,796,1073,1596,3078,2459,1456,3776,2973,1274,7237,1837,7249,828,733,8094,4880,1292,2020,144,258,331,1471,1079,6761,6017
1/30/08,1847,8878,900,2423,2189,725,1013,1423,2865,2482,1571,4160,3022,1271,7329,1769,7004,772,776,7667,4879,1269,1954,150,226,345,1214,995,6351,5819
1/31/08,1920,8799,770,2285,2138,825,911,1847,2797,2304,1463,3641,2738,1108,7278,1729,7245,894,674,7475,4955,1140,2017,148,208,310,1239,1055,6200,5549
2/1/08,1661,8102,706,2055,1951,954,1001,3349,2505,2130,1385,3381,2679,1076,5999,1517,6123,694,549,12426,4134,965,1644,174,177,329,1308,951,6675,5833
2/2/08,1308,6249,563,1735,1289,825,575,3204,1948,1487,1189,2396,2359,682,4645,1081,4711,539,354,9151,3079,673,1286,78,122,183,902,722,4747,5572
2/3/08,1387,6701,797,1847,1234,740,655,1842,1995,1558,1119,2708,2241,696,5368,1160,4805,519,493,7485,3584,775,1349,74,90,187,882,773,4885,5525
2/4/08,1732,8649,734,2133,1944,753,957,1884,2603,2148,1241,3629,2949,1093,7624,1537,6598,795,562,10379,4762,1180,1957,127,231,297,1151,928,5891,5587
2/5/08,1871,8823,881,2378,2311,917,1017,2100,2839,2452,1260,4082,3277,1169,7603,1571,6844,796,684,10114,5288,1152,2155,142,206,301,1267,973,6272,5774
2/6/08,1759,9084,852,2146,2172,815,985,1985,3041,2278,1281,3685,3004,1265,7493,1506,6713,716,599,9005,5244,1198,1935,131,225,295,1274,873,6104,5795
2/7/08,1671,8452,874,2388,2462,801,964,1828,2706,2129,1318,3675,2930,1072,7280,1502,7086,739,699,8660,5208,1212,1972,140,225,370,1234,828,6317,5722
2/8/08,1759,7877,787,2137,1954,814,897,2105,2644,2072,1212,3463,2710,1060,6816,1482,6340,679,678,8255,4598,987,1692,136,198,239,1237,870,5837,5842
2/9/08,1343,5998,694,5937,1371,652,693,1508,2079,1406,1035,2630,2357,761,4492,1094,4554,495,387,6132,3297,702,1344,94,108,283,898,790,5905,5573
